timestamp,algorithm,size_m,size_n,size_p,compute_ms,total_ms,gflops,simd,threads,tile_size,peak_ram_mb
2026-03-04T06:28:12,Parallel Strassen + Tiled,2048,2048,2048,445.5479,478.2267,38.5590,AVX2,24,64,96
2026-03-06T06:48:35,Parallel Strassen + Tiled,2048,2048,2048,446.0218,478.4296,38.5180,AVX2,24,64,96
